State,State Code,Local Government,LGA Code,Ward,Ward Code,Polling Unit,PU Code,Full Polling Unit Code,Senatorial District,House of Representatives
Ogun,27,Abeokuta North,01,Ikereku,01,O.U.S Pry. School Ikereku I,001,27/01/01/001,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikereku,01,O.U.S Pry. School Ikereku  Ii,002,27/01/01/002,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikereku,01,Near Holy Trinity Church I,003,27/01/01/003,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikereku,01,Near Holy Trinity Church Ii,004,27/01/01/004,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikereku,01,Near Ita Ogboni Idomapa I,005,27/01/01/005,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikereku,01,Near Ita Ogboni Idomapa Ii,006,27/01/01/006,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikereku,01,Ojude Agburin,007,27/01/01/007,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikereku,01,Near Aroworehin Mosque Ii,008,27/01/01/008,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikereku,01,Near Oke Eri Mosque,009,27/01/01/009,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikereku,01,Near Lasode House I,010,27/01/01/010,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikereku,01,Near Lasode House Ii,011,27/01/01/011,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikereku,01,Open Space Close To The Ajanaku'S,012,27/01/01/012,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikereku,01,"Open Space Near Ita Ogboni, Ikereku",013,27/01/01/013,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikereku,01,"Open Space Near Alaran Mosque, Ikereku",014,27/01/01/014,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikereku,01,"Ojuferewa Square, Ago Odo.",015,27/01/01/015,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikija,02,Nud Ikija  I,001,27/01/02/001,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikija,02,Nud Ikija  Ii,002,27/01/02/002,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikija,02,Holy Prophet Isale Ogun  I,003,27/01/02/003,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikija,02,Holy Prophet Isale Ogun  Ii,004,27/01/02/004,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikija,02,Ahmadiya Pry. School,005,27/01/02/005,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikija,02,Open Space At Osunrinde'S House I,006,27/01/02/006,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikija,02,Open Space At Osunrinde'S House Ii,007,27/01/02/007,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikija,02,"Near Adedotun Central Mosque, Ojude Agburin",008,27/01/02/008,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikija,02,"Open Space At Abiye Junction, Adedotun",009,27/01/02/009,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ikija,02,Open Space At Osunrinde'S House Ii,010,27/01/02/010,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ago Oko,03,Space At Itamorin  I,001,27/01/03/001,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ago Oko,03,Space At Itamorin  Ii,002,27/01/03/002,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ago Oko,03,Space At Kinoshi House  I,003,27/01/03/003,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ago Oko,03,Space At Kinoshi House  Ii,004,27/01/03/004,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ago Oko,03,Muslim Pry. School Ago-Oko  I,005,27/01/03/005,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ago Oko,03,Muslim Pry. School Ago-Oko  Ii,006,27/01/03/006,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ago Oko,03,Muslim Pry. School Ago-Oko  Iii,007,27/01/03/007,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ago Oko,03,Ita Balogun Mosque  I,008,27/01/03/008,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ago Oko,03,Ita Balogun Mosque  Ii,009,27/01/03/009,Ogun Central,Owode/Odeda
Ogun,27,Abeokuta North,01,Ago Oko,03,Ita Balogun Mosque  Iii,010,27/01/03/010,Ogun Central,Owode/Odeda
